,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,47BBI51FKFwOMlIiX6m8ya,I Want It That Way,Backstreet Boys,['Backstreet Boys'],0.689,0.694,6,-5.83,0,0.027,0.257,0.0,0.148,0.482,99.039,4,213
1,3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,Britney Spears,['Britney Spears'],0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,4,211
2,75IN3CtuZwTHTnZvYM4qnJ,My Name Is,Eminem,['Eminem'],0.869,0.68,1,-6.233,1,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,4,268
3,11mwFrKvLXCbcVGNxffGyP,Genie In a Bottle,Christina Aguilera,['Christina Aguilera'],0.633,0.8,1,-6.945,1,0.166,0.209,0.000123,0.137,0.913,175.716,4,218
4,503OTo2dSqe7qk76rgsbep,Still D.R.E.,Dr. Dre,"['Dr. Dre', 'Snoop Dogg']",0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,4,271
5,1KGi9sZVMeszgZOWivFpxs,No Scrubs,TLC,['TLC'],0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,4,214
6,48UPSzbZjgc449aqz8bxox,Californication,Red Hot Chili Peppers,['Red Hot Chili Peppers'],0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,4,330
7,4LJhJ6DQS7NwE7UKtvcM52,What's My Age Again?,blink-182,['blink-182'],0.391,0.951,6,-7.419,1,0.0692,0.0126,0.000378,0.0878,0.468,157.66,4,148
8,3cfOd4CMv2snFaKAnMdnvK,All Star,Smash Mouth,['Smash Mouth'],0.731,0.867,11,-5.881,1,0.032,0.0395,0.0,0.0861,0.776,104.019,4,200
9,5cZqsjVs6MevCnAkasbEOX,Break Stuff,Limp Bizkit,['Limp Bizkit'],0.432,0.884,8,-6.659,1,0.13,0.0127,0.000527,0.166,0.624,108.948,4,167
10,5OQsiBsky2k2kDKy2bX2eT,Learn to Fly,Foo Fighters,['Foo Fighters'],0.465,0.919,4,-4.025,1,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,4,235
11,6x4tKaOzfNJpEJHySoiJcs,Mambo No. 5 (a Little Bit of...),Lou Bega,['Lou Bega'],0.622,0.807,5,-6.752,0,0.408,0.103,0.0,0.306,0.892,174.06,4,220
12,2yAVzRiEQooPEJ9SYx11L3,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,"['Eiffel 65', 'Gabry Ponte']",0.822,0.969,7,-11.471,0,0.0582,0.259,0.000153,0.39,0.765,128.007,4,284
13,1G391cbiT3v3Cywg8T7DM1,Scar Tissue,Red Hot Chili Peppers,['Red Hot Chili Peppers'],0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,4,216
14,5XVjNRubJUW0iPhhSWpLCj,Better Off Alone,Alice Deejay,['Alice Deejay'],0.671,0.882,8,-6.149,0,0.0552,0.00181,0.667,0.285,0.787,136.955,4,215
15,1SWVDBtw6h3tm9OehOkDhv,What's The Difference,Dr. Dre,"['Dr. Dre', 'Eminem', 'Xzibit']",0.772,0.821,11,-0.14,0,0.25,0.223,0.0,0.148,0.77,91.921,4,244
16,3SFXsFpeGmBTtQvKiwYMDA,Pretty Fly (For A White Guy),The Offspring,['The Offspring'],0.723,0.895,11,-3.707,0,0.102,0.088,0.0,0.0717,0.963,143.373,4,189
17,0Ph6L4l8dYUuXFmb71Ajnd,Livin' la Vida Loca,Ricky Martin,['Ricky Martin'],0.425,0.954,1,-3.756,0,0.0476,0.00414,0.0,0.0555,0.933,178.043,4,243
18,6xpDh0dXrkVp0Po1qrHUd8,Adam's Song,blink-182,['blink-182'],0.52,0.775,0,-5.803,1,0.0348,0.034,0.0,0.364,0.382,136.028,4,250
19,3yUcJwYu7fXAfqMj9krY6l,Thank You,Dido,['Dido'],0.725,0.583,1,-9.942,0,0.0427,0.3,0.000238,0.0665,0.762,79.984,4,218
20,1OxcIUqVmVYxT6427tbhDW,Fly Away,Lenny Kravitz,['Lenny Kravitz'],0.587,0.872,7,-5.066,1,0.0484,0.018,0.0,0.622,0.735,159.925,4,221
21,0gcjc7Vt5xtcfmJgf6g2IO,When You Say Nothing At All,Ronan Keating,['Ronan Keating'],0.461,0.448,7,-10.665,1,0.0246,0.161,1.18e-06,0.0811,0.418,173.86,4,257
22,4BggEwLhGfrbrl7JBhC8EC,Butterfly,Crazy Town,['Crazy Town'],0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,4,217
23,33iv3wnGMrrDugd7GBso1z,My Own Worst Enemy,Lit,['Lit'],0.494,0.946,4,-2.757,1,0.0637,0.00129,0.0,0.398,0.741,103.408,4,169
24,0sNKiz82ATCvT3f3XVVUUj,Why Don't You Get A Job,The Offspring,['The Offspring'],0.766,0.882,5,-4.478,1,0.0719,0.0674,2.3e-06,0.281,0.544,107.932,4,172
25,5TAf4lnZCZTLlZHNZMLFLi,I Try,Macy Gray,['Macy Gray'],0.593,0.642,2,-7.284,1,0.0299,0.313,0.000582,0.0804,0.736,76.403,4,239
26,1Oi2zpmL81Q0yScF1zxaC0,"Bills, Bills, Bills",Destiny's Child,"[""Destiny's Child""]",0.845,0.576,11,-5.15,0,0.153,0.139,0.0,0.0764,0.461,127.641,4,256
27,7lgvU7WnwcNZ8dbGUz8yhP,Bitch Please II,Eminem,"['Eminem', 'Dr. Dre', 'Snoop Dogg', 'Xzibit', 'Nate Dogg']",0.918,0.586,1,-2.89,1,0.133,0.0783,0.0,0.145,0.779,95.517,4,288
28,1fTDYdx5zYfWJSX0JlKO8o,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",Phil Collins,['Phil Collins'],0.566,0.748,8,-6.549,1,0.0301,0.0643,5.16e-06,0.0925,0.614,96.586,4,258
29,7mnGQesk1TzQLzQ9bYWZPR,She's so High,Tal Bachman,['Tal Bachman'],0.537,0.84,9,-4.626,1,0.0363,0.2,2.15e-06,0.0998,0.211,124.269,4,225
30,6e8Ou0wiqAzIpWb2eSxll8,Miami,Will Smith,['Will Smith'],0.877,0.534,1,-6.178,1,0.15,0.0339,1.67e-05,0.0441,0.89,108.17,4,198
31,1wsRitfRRtWyEapl0q22o8,Guerrilla Radio,Rage Against The Machine,['Rage Against The Machine'],0.599,0.957,11,-5.764,1,0.188,0.0129,7.06e-05,0.155,0.489,103.68,4,206
32,0IVAlb0cFCH1cQ974iR1TU,Ms. Fat Booty,Mos Def,['Mos Def'],0.782,0.589,1,-4.827,1,0.189,0.148,0.0,0.164,0.869,90.438,4,224
33,5EYdTPdJD74r9EVZBztqGG,The Bad Touch,Bloodhound Gang,['Bloodhound Gang'],0.831,0.735,0,-6.254,0,0.0384,0.00397,0.0205,0.123,0.97,122.979,4,261
34,0QnONzv3TvHAWk294h6DaQ,Last Kiss,Pearl Jam,['Pearl Jam'],0.622,0.692,7,-6.97,1,0.0276,0.363,0.000158,0.193,0.774,112.053,4,195
35,2VjXGuPVVxyhMgER3Uz2Fe,Ex-Factor,Ms. Lauryn Hill,['Ms. Lauryn Hill'],0.593,0.619,3,-9.003,0,0.0976,0.118,0.0,0.484,0.668,80.02,4,327
36,6nozDLxeL0TE4MS9GqYU1v,I Knew I Loved You,Savage Garden,['Savage Garden'],0.61,0.497,9,-9.88,1,0.0279,0.32,6.11e-05,0.0884,0.739,85.031,4,250
37,0aGQHMr7bc23Y9Ts84ffop,Around the World,Red Hot Chili Peppers,['Red Hot Chili Peppers'],0.504,0.96,0,-1.464,1,0.183,0.00417,0.569,0.0613,0.774,96.682,4,239
38,6mwA6YiKDjAUG8kWvRRUPh,Back At One,Brian McKnight,['Brian McKnight'],0.661,0.346,11,-9.115,1,0.03,0.452,0.0,0.131,0.256,129.752,4,264
39,0n2SEXB2qoRQg171q7XqeW,Smooth (feat. Rob Thomas),Santana,"['Santana', 'Rob Thomas']",0.609,0.923,9,-3.908,1,0.0338,0.16,4.73e-06,0.295,0.961,115.996,4,295
40,1TEZWG1FdjzDdercCguTwj,Nookie,Limp Bizkit,['Limp Bizkit'],0.573,0.929,11,-5.996,1,0.082,0.00218,0.0723,0.718,0.284,97.57,4,290
41,6sbXGUn9V9ZaLwLdOfpKRE,Larger Than Life,Backstreet Boys,['Backstreet Boys'],0.661,0.973,0,-2.994,0,0.037,0.11,1.74e-05,0.617,0.75,108.037,4,233
42,7p9dd71JR2ucoAuO1Sy0VZ,When You're Gone,Bryan Adams,"['Bryan Adams', 'Melanie C']",0.546,0.931,0,-6.344,1,0.0341,0.000299,2.92e-05,0.11,0.643,125.495,4,205
43,1UI0l2L66HJ9AtoEOlHzv4,Sometimes,Britney Spears,['Britney Spears'],0.745,0.742,10,-5.693,1,0.0259,0.42,0.0,0.102,0.806,95.996,4,245
