id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s,year,lyrics
1gcESexgftSuLuML57Y69q,All Right Now,Free,['Free'],0.787,0.472,2,-12.824,1,0.0832,0.221,0.000336,0.153,0.824,120.059,4,331,1970,"Oh, whoa, whoaOwMm!There she stood in the streetSmiling from her head to her feetI said-ah, hey, what is this?Now baby, maybe, maybe she's in need of a kissI said-ah, ""Hey, what's your name baby?Maybe we can see things the sameNow don't you wait or hesitateLet's move before they raise the parking rate.""Ow!All right nowBaby, it's-ah all right nowMm!All right nowBaby, it's-ah all right nowWhoa, oohLet me tell you all about it nowMm!I took her home to my placeWatching every move on her faceShe said, ""Look, what's your game, baby?Are you tryin' to put me in shame?""I said, ""Slow, don't go so fastDon't you think that love can last?""She said, ""Love, Lord aboveHuh, now you're trying to trick me in love""Ow!All right nowBaby, it's-ah all right nowAll right nowBaby, it's-ah all right now"
1oht5GevPN9t1T3kG1m1GO,Fire and Rain - 2019 Remaster,James Taylor,['James Taylor'],0.597,0.271,5,-17.293,1,0.0394,0.766,0.0119,0.0933,0.338,76.271,4,204,1970,None
4vO9dmzNRqDhFY3jD1a3P7,Mississippi Queen,Mountain,['Mountain'],0.581,0.624,9,-8.346,1,0.0777,0.0987,0.0,0.0411,0.637,139.714,4,151,1970,"[Chorus]Mississippi queenIf you know what I meanMississippi queenShe taught me everything[Verse 1]Way down around VicksburgAround Louisiana wayLived a Cajun ladyAboard the Mississippi Queen[Pre-Chorus]You know she was a dancerShe moved better on wineWhile the rest of them dudes were getting their kicksBoy, I beg your pardon, I was getting mine[Chorus]Mississippi queenIf you know what I meanMississippi queenShe taught me everything[Verse 2]This lady she asked meIf I would be her manYou know that I told herI'd do what I can[Pre-Chorus]To keep her looking prettyBuy her dresses that shineWhile the rest of them dudes were making their breadBoy, I beg your pardon, I was losing mine[Solo]"
1Q5kgpp4pmyGqPwNBzkSrw,Roadhouse Blues,The Doors,['The Doors'],0.623,0.633,9,-8.212,1,0.0304,0.336,4.6e-05,0.147,0.895,121.119,4,244,1970,"[Verse 1]Oh, keep your eyes on the road, your hands upon the wheelKeep your eyes on the road, your hands upon the wheelYeah, we're going to the RoadhouseGonna have a realA good time[Verse 2]Yeah, the back of the Roadhouse they got some bungalowsYeah, the back of the Roadhouse they got some bungalowsAnd that's for the people who like to go down slow[Chorus]Let it roll, baby, rollLet it roll, baby, rollLet it roll, baby, rollLet it rollAll night long[Post-Chorus]Do it, Robby, do it![Guitar Solo][Bridge 1]Alright !Eeeeeh yeah !You got to roll, roll, rollYou got to thrill my soul, all rightRoll, roll, roll, rollTo thrill my soulYou got to beep-a-gunk-a-chuchaHonk-konk-konk-kadantaEach-ya-puna-ney-chaBap-pa-lula-ni-chaoPao-pati-chaNi-saong-kongAlright !"
6l8EbYRtQMgKOyc1gcDHF9,Bridge Over Troubled Water,Simon & Garfunkel,['Simon & Garfunkel'],0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,4,293,1970,None
3RNyGLgSvmVRZ7xKUp8Wgd,In the Summertime,Mungo Jerry,['Mungo Jerry'],0.642,0.65,4,-8.567,1,0.0623,0.66,0.0,0.14,0.973,164.421,4,216,1970,"[Chorus]Chh chh-chh, uh, chh chh-chh, uhChh chh-chh, uh, chh chh-chh, uhChh chh-chh, uh, chh chh-chh, uhChh chh-chh, uh, chh chh-chh, uhChh chh-chh, uh, chh chh-chh, uhChh chh-chh, uh, chh chh-chh[Verse 1]In the summertime when the weather is highYou can stretch right up and touch the skyWhen the weather's fineYou got women, you got women on your mindHave a drink, have a driveGo out and see what you can find[Verse 2]If her daddy's rich, take her out for a mealIf her daddy's poor, just do what you feelSpeed along the laneDo a ton or a ton an' twenty-fiveWhen the sun goes downYou can make it, make it good in a lay-by[Verse 3]We're not grey peopleWe're not dirty, we're not meanWe love everybody, but we do as we pleaseWhen the weather's fineWe go fishin' or go swimmin' in the seaWe're always happyLife's for livin', yeah, that's our philosophy[Verse 4]Sing along with usDee dee dee-dee deeDah dah dah-dah dahYeah, we're hap— happyDah dah-dahDee-dah-do dee-dah-do dah-do-dah (yeah)Dah-do-dah-dah-dah (alright, alright)Dah-dah-dah do-dah-dahAlright"
4ZKgPZ9d4V5WW6H2s4qMD3,Lola - 2020 Stereo Remaster,The Kinks,['The Kinks'],0.456,0.894,9,-4.602,1,0.037,0.458,0.485,0.0695,0.926,151.333,4,242,1970,None
7wWw7hBmErNg9u5w6Xx0vy,Make It with You,Bread,['Bread'],0.629,0.356,4,-11.135,1,0.0246,0.66,0.000617,0.173,0.472,83.886,4,192,1970,"[Verse 1]Hey, have you ever triedReally reaching out for the other side?I may be climbing on rainbowsBut baby, here goes[Pre-Chorus 1]Dreams, they're for those who sleepLife is for us to keepAnd if you're wondering what this all is leading to[Chorus]I wanna make it with youI really think that we could make it, girl[Verse 2]No, you don't know me wellAnd every little thing, only time will tellIf you believe the things that I doAnd we'll see it through[Pre-Chorus 2]Life can be short or longLove can be right or wrongAnd if I chose the one I'd like to help me through[Chorus]I'd like to make it with youI really think that we could make it, girl[Instrumental Break][Pre-Chorus 1]Baby, you know thatDreams, they're for those who sleepLife, it's for us to keepAnd if I chose the one I'd like to help me through"
36gPq8WG7tDxrblyGVUCiT,Up Around The Bend,Creedence Clearwater Revival,['Creedence Clearwater Revival'],0.589,0.85,2,-6.143,1,0.0343,0.0606,0.779,0.274,0.813,130.318,4,161,1970,"[Verse 1]There's a place up ahead, and I'm goin'Just as fast as my feet can flyCome away, come away if you're goin'Leave the sinkin' ship behind[Chorus]Come on the risin' windWe're goin' up around the bendOooh![Verse 2]Bring a song and a smile for the banjoBetter get while the getting's goodHitch a ride to the end of the highwayWhere the neons turn to wood[Chorus]Come on the risin' windWe're goin' up around the bendOooh![Verse 3]You can ponder perpetual motionFix your mind on a crystal dayAlways time for good conversationThere's an ear for what you say[Chorus]Come on the risin' windWe're goin' up around the bendYeah![Guitar solo]Oooh![Verse 4]Catch a ride to the end of the highwayAnd we'll meet by the big red treeThere's a place up ahead, and I'm goin'Come along, come along with me"
4YMQXzscifAREG0a7KNGhB,Black Magic Woman - Single Version,Santana,['Santana'],0.489,0.349,2,-14.295,0,0.0323,0.676,0.0789,0.0866,0.622,124.348,4,196,1970,None
