,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,7tFiyTwD0nx5a1eklYtX2J,Bohemian Rhapsody - Remastered 2011,Queen,['Queen'],0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883,4,354
1,5HQEmiV2lKnSO6qa2fsR7x,I'm Not In Love,10cc,['10cc'],0.404,0.523,4,-15.7,1,0.0575,0.685,0.000498,0.282,0.164,133.738,4,367
2,2TxCwUlqaOH3TIyJqGgR91,Mamma Mia,ABBA,['ABBA'],0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547,4,213
3,6iXQrhhgBisdfvS34EMTZ3,Mandy,Barry Manilow,['Barry Manilow'],0.308,0.464,10,-9.032,1,0.0279,0.418,2.49e-06,0.143,0.318,103.734,4,213
4,4t0Pj3iBnSCZv5pDEPNmzG,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Bee Gees,['Bee Gees'],0.811,0.545,7,-12.969,0,0.0579,0.155,0.0853,0.156,0.734,105.911,4,222
5,6OuRbvP4PgbuzBIapVzmFJ,Sailing,Rod Stewart,['Rod Stewart'],0.43,0.374,11,-9.949,1,0.0292,0.372,0.379,0.316,0.191,128.56,4,278
6,5ihS6UUlyQAfmp48eSkxuQ,Landslide,Fleetwood Mac,['Fleetwood Mac'],0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,4,199
7,6KTv0Z8BmVqM7DPxbGzpVC,Rock And Roll All Nite,KISS,['KISS'],0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774,4,169
8,24NwBd5vZ2CK8VOQVnqdxr,Sweet Emotion,Aerosmith,['Aerosmith'],0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,4,274
9,6hTcuIQa0sxrrByu9wTD7s,Born to Run,Bruce Springsteen,['Bruce Springsteen'],0.27,0.944,4,-4.199,1,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,4,270
10,714hERk9U1W8FMYkoC83CO,You Sexy Thing,Hot Chocolate,['Hot Chocolate'],0.791,0.733,5,-5.465,1,0.0633,0.523,0.0016,0.167,0.962,105.853,4,245
11,608xszaAxVh4m7NcKJiAbF,One of These Nights - 2013 Remaster,Eagles,['Eagles'],0.655,0.606,7,-10.385,1,0.0285,0.0603,0.0789,0.0757,0.765,110.061,4,292
12,1cU34sZG9kF4FYHCoAD0Ib,Some Kind Of Wonderful - Remastered 1999,Grand Funk Railroad,['Grand Funk Railroad'],0.855,0.691,2,-6.51,1,0.0514,0.144,0.0,0.36,0.647,121.472,4,203
