,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,6rovOdp3HgK1DeAMYDzoA7,Maggie May,Rod Stewart,['Rod Stewart'],0.605,0.574,2,-10.536,1,0.0377,0.559,0.113,0.0684,0.543,129.449,4,350
1,38zsOOcu31XbbYj9BIPUF1,Your Song,Elton John,['Elton John'],0.554,0.315,3,-11.028,1,0.0298,0.828,5.53e-06,0.101,0.325,128.157,4,242
2,3Um9toULmYFGCpvaIPFw7l,What's Going On,Marvin Gaye,['Marvin Gaye'],0.283,0.716,1,-9.632,0,0.0986,0.447,0.0,0.399,0.828,201.96,4,233
3,5CQ30WqJwcep0pYcV4AMNc,Stairway to Heaven - Remaster,Led Zeppelin,['Led Zeppelin'],0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,4,483
4,1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,Bill Withers,['Bill Withers'],0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169,4,125
5,1YYhDizHx7PnDhAhko6cDS,"Take Me Home, Country Roads",John Denver,['John Denver'],0.462,0.395,9,-9.376,1,0.0264,0.758,0.0,0.121,0.625,82.259,4,190
6,3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,The Who,['The Who'],0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,4,300
7,7mjSHL2Eb0kAwiKbvNNyD9,Wild World,Yusuf / Cat Stevens,['Yusuf / Cat Stevens'],0.48,0.542,0,-8.51,1,0.0348,0.345,0.000609,0.113,0.567,152.853,4,201
8,2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,Creedence Clearwater Revival,['Creedence Clearwater Revival'],0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,4,160
9,7pKfPomDEeI4TPT6EOYjn9,Imagine - Remastered 2010,John Lennon,['John Lennon'],0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,4,188
10,2kkvB3RNRzwjFdGhaUA0tz,Layla,Derek & The Dominos,['Derek & The Dominos'],0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,4,424
11,78lgmZwycJ3nzsdgmPPGNx,Immigrant Song - Remaster,Led Zeppelin,['Led Zeppelin'],0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,4,146
12,14XWXWv5FoCbFzLksawpEe,Riders on the Storm,The Doors,['The Doors'],0.55,0.722,11,-11.729,0,0.0283,0.25,0.0129,0.11,0.716,103.886,4,435
13,1hHGUdFaiJHw9hVZGJWYO2,Midnight Rider,Allman Brothers Band,['Allman Brothers Band'],0.585,0.532,7,-9.673,1,0.0268,0.209,0.00797,0.227,0.68,94.461,4,180
14,0cKk8BKEi7zXbdrYdyqBP5,Behind Blue Eyes,The Who,['The Who'],0.394,0.622,4,-8.258,0,0.0336,0.213,4.45e-05,0.0892,0.342,126.844,4,221
15,1IqFh00G2kvvMm8pRMpehA,Me and Bobby McGee,Janis Joplin,['Janis Joplin'],0.43,0.463,2,-10.96,1,0.0442,0.303,5.84e-05,0.152,0.66,93.405,4,271
16,0MHXrqn909p0LRTPsNsGEi,Move on Up - Single Edit,Curtis Mayfield,['Curtis Mayfield'],0.538,0.969,11,-5.626,0,0.0906,0.417,0.00154,0.119,0.928,138.652,4,166
17,52dm9op3rbfAkc1LGXgipW,Wild Horses - 2009 Mix,The Rolling Stones,['The Rolling Stones'],0.432,0.389,7,-6.517,1,0.0255,0.687,0.0107,0.0788,0.158,139.506,4,342
18,12q3V8ShACq2PSWINMc2rC,It's Too Late,Carole King,['Carole King'],0.45,0.442,9,-12.718,0,0.0353,0.493,0.00564,0.134,0.812,208.282,4,233
19,6zV8IpLvw0tkRSVCFQJB1y,You've Got a Friend - 2019 Remaster,James Taylor,['James Taylor'],0.689,0.2,9,-18.634,1,0.0309,0.795,0.0327,0.0893,0.478,91.787,4,269
20,76TpWFiK5YCgw1hy26DWZp,What Is Life - Remastered 2014,George Harrison,['George Harrison'],0.468,0.833,4,-5.847,1,0.0324,0.00654,0.000332,0.326,0.884,131.248,4,264
21,0cJPLFrlV7TTCyPLupHzcH,Won't Get Fooled Again - Original Album Version,The Who,['The Who'],0.686,0.92,2,-6.231,1,0.0566,0.301,0.27,0.0807,0.225,135.027,4,511
22,10vkYRKw6Jjr7try1ir50G,Tired of Being Alone,Al Green,['Al Green'],0.772,0.397,7,-8.585,1,0.0391,0.339,0.00541,0.0753,0.617,97.964,4,172
23,3IDc87lrpEHWFBASmgTgFV,Mercy Mercy Me (The Ecology),Marvin Gaye,['Marvin Gaye'],0.498,0.634,6,-12.16,0,0.0475,0.328,0.748,0.0962,0.515,93.161,4,194
24,40W8Mm9t3ZO1iNQlls35lL,If,Bread,['Bread'],0.388,0.176,9,-16.952,1,0.0299,0.912,0.000336,0.0977,0.342,97.628,4,156
25,61UuPxxYUvacEH6SHIK3sU,Brown Sugar - 2009 Remaster,The Rolling Stones,['The Rolling Stones'],0.633,0.934,0,-3.594,1,0.0344,0.219,0.00021,0.0592,0.963,128.606,4,229
26,57ct8jKi6trntXiRV0NnXi,If You Could Read My Mind,Gordon Lightfoot,['Gordon Lightfoot'],0.612,0.24,9,-12.821,1,0.033,0.745,7.86e-05,0.115,0.223,122.565,4,229
27,2Bls0igCm79XQQ95IoUbhq,Mr. Big Stuff,Jean Knight,['Jean Knight'],0.886,0.491,8,-12.589,1,0.171,0.29,2.46e-06,0.229,0.971,93.236,4,165
28,6DmfWj5kOa1fX8AwN9byOn,L.A. Woman,The Doors,['The Doors'],0.354,0.731,2,-9.178,1,0.0382,0.0812,0.00124,0.115,0.697,170.633,4,471
29,5JnHzjo25FY1fMQMQVOawB,She's A Lady,Tom Jones,['Tom Jones'],0.51,0.876,2,-9.101,1,0.161,0.212,0.0,0.248,0.624,119.702,4,174
30,6FsQrRpBLgsrFeAeiQqytm,Bang a Gong (Get It On) - 2003 Remaster,T. Rex,['T. Rex'],0.729,0.818,2,-9.992,1,0.0732,0.157,0.284,0.195,0.906,125.814,4,267
31,5YwgJ6lpZ3SiAQwBEpjqey,Rose Garden,Lynn Anderson,['Lynn Anderson'],0.589,0.501,0,-11.665,1,0.031,0.168,0.0,0.0741,0.969,131.064,4,176
32,39Bd345OWEhRNyfayhp9gv,Just My Imagination (Running Away With Me),The Temptations,['The Temptations'],0.425,0.242,0,-15.424,1,0.0267,0.88,0.0118,0.195,0.477,92.472,4,228
33,3MFFDRC4wTN9JNGtzXsZlN,Love Her Madly,The Doors,['The Doors'],0.565,0.587,4,-7.393,0,0.0317,0.0573,0.00493,0.0416,0.966,147.462,4,198
34,4wOKTOwGVrie2GIbCMEe7U,I Am...I Said - Single Version,Neil Diamond,['Neil Diamond'],0.246,0.375,10,-14.409,1,0.0272,0.141,4.97e-06,0.109,0.511,90.53,4,213
35,4WYFQLVqla6tpYtKsSqcgu,Draggin' the Line,Tommy James & The Shondells,['Tommy James & The Shondells'],0.669,0.583,1,-9.165,0,0.0689,0.0521,1.52e-05,0.177,0.647,114.548,4,165
36,1jy0RbDHyBMTupSdc98XbG,How Can You Mend A Broken Heart,Bee Gees,['Bee Gees'],0.335,0.262,4,-13.832,1,0.0393,0.548,0.0,0.0971,0.203,68.82,4,238
