,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,7gaQtc0vrSpmRJpSMDiPEk,All Night Long (All Night),Lionel Richie,['Lionel Richie'],0.716,0.556,1,-13.917,1,0.0406,0.111,0.0076,0.0422,0.8,108.828,4,383
1,7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson,['Michael Jackson'],0.932,0.457,11,-9.62,0,0.0541,0.0173,0.0436,0.0414,0.884,117.002,4,294
2,1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,['The Police'],0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4,254
3,1jDJFeK9x3OZboIAHsY9k2,I'm Still Standing,Elton John,['Elton John'],0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,4,183
4,4YwbSZaYeYja8Umyt222Qf,You Can't Hurry Love - 2016 Remaster,Phil Collins,['Phil Collins'],0.62,0.936,7,-4.593,1,0.0308,0.0261,0.0,0.0679,0.763,97.527,4,176
5,2wSAWEYUHkt92X4SBAPqZE,Karma Chameleon - Remastered 2002,Culture Club,['Culture Club'],0.668,0.73,10,-7.182,1,0.0366,0.225,0.0,0.188,0.894,92.049,4,253
6,5CGziaEatzKez145qf7Xj2,Flashdance... What A Feeling - '95 Version,Irene Cara,['Irene Cara'],0.658,0.748,7,-6.159,0,0.0353,0.204,5.66e-06,0.138,0.662,129.03,4,229
7,1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']",0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,4,217
8,4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,Cyndi Lauper,['Cyndi Lauper'],0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,4,238
9,5zA8vzDGqPl2AzZkEYQGKh,Uptown Girl,Billy Joel,['Billy Joel'],0.701,0.944,4,-2.986,1,0.0455,0.0755,0.0,0.601,0.792,128.993,4,198
10,0QKfiqpEU4h9ycPSzIFwYe,Maniac,Michael Sembello,['Michael Sembello'],0.617,0.533,3,-11.516,0,0.0651,0.0891,4.04e-06,0.0415,0.835,158.86,4,245
11,7wuJGgpTNzbUyn26IOY6rj,Total Eclipse of the Heart,Bonnie Tyler,['Bonnie Tyler'],0.431,0.723,8,-5.887,1,0.0568,0.145,0.0,0.374,0.19,130.141,4,267
12,7j74lucZ59vqN67Ipe2ZcY,Maneater,Daryl Hall & John Oates,['Daryl Hall & John Oates'],0.724,0.498,11,-13.083,0,0.0423,0.0405,8.56e-05,0.0761,0.823,88.825,4,273
13,4ECNtOnqzxutZkXP4TE3n3,Separate Ways (Worlds Apart),Journey,['Journey'],0.451,0.962,0,-3.947,1,0.0734,0.0188,3.17e-06,0.277,0.377,131.435,4,324
14,1UBQ5GK8JaQjm5VbkBZY66,Sharp Dressed Man - 2008 Remaster,ZZ Top,['ZZ Top'],0.601,0.859,5,-5.263,1,0.0276,0.000359,0.00124,0.0871,0.446,125.145,4,258
15,1mCsF9Tw4AkIZOjvZbZZdT,Break My Stride,Matthew Wilder,['Matthew Wilder'],0.917,0.588,10,-11.047,1,0.0607,0.195,0.0,0.0914,0.828,110.077,4,184
16,1HPJOoIVdUPuaebxzMrVaD,Words - Original Version 1983,F.R. David,['F.R. David'],0.537,0.789,10,-5.578,0,0.0549,0.372,2.66e-05,0.138,0.527,123.763,4,209
17,7BfW1eoDh27W69nxsmRicb,Buffalo Soldier,Bob Marley & The Wailers,['Bob Marley & The Wailers'],0.929,0.463,9,-8.651,1,0.308,0.142,5.26e-06,0.0634,0.757,124.084,4,256
18,6hHc7Pks7wtBIW8Z6A0iFq,Blue Monday,New Order,['New Order'],0.762,0.651,0,-13.34,1,0.0655,0.00198,0.856,0.111,0.941,130.395,4,449
19,6C4LXC9UFH1IKiHYOp0BiJ,Sunday Bloody Sunday - Remastered 2008,U2,['U2'],0.543,0.944,6,-7.495,1,0.0543,0.402,0.000564,0.0373,0.735,101.174,4,279
