,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,3vkQ5DAB1qQMYO4Mr9zJN6,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,['ABBA'],0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,4,293
1,2zMJN9JvDlvGP4jB03l1Bz,Hot Stuff,Donna Summer,['Donna Summer'],0.823,0.743,0,-13.98,1,0.0316,0.00559,0.0306,0.0707,0.966,120.471,4,315
2,3wpLkju0bJy89kjgdRys0j,September,"Earth, Wind & Fire","['Earth, Wind & Fire']",0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,4,215
3,5EOoMWIB9iK4ZpcSex9Ec7,Old Time Rock & Roll,Bob Seger,['Bob Seger'],0.714,0.937,6,-2.947,1,0.0399,0.206,0.0,0.0731,0.964,124.13,4,194
4,6T5GTy1l6dRmagqpNPjdoc,Too Much Heaven,Bee Gees,['Bee Gees'],0.495,0.439,6,-13.212,1,0.0467,0.44,8.88e-05,0.725,0.353,165.922,4,296
5,6mHOcVtsHLMuesJkswc0GZ,The Logical Song - Remastered 2010,Supertramp,['Supertramp'],0.625,0.758,5,-6.213,0,0.0463,0.512,0.00022,0.153,0.695,119.719,4,251
6,7cv28LXcjAC3GsXbUvXKbX,I Will Survive - Single Version,Gloria Gaynor,['Gloria Gaynor'],0.777,0.725,0,-8.681,1,0.05,0.0131,0.00805,0.246,0.529,116.669,4,198
7,4a5pNRjwmzYQuEY1E7O6pj,Breakfast In America - 2010 Remastered,Supertramp,['Supertramp'],0.532,0.663,0,-5.886,0,0.0292,0.425,1.07e-06,0.0734,0.756,75.14,4,159
8,3XIEWK1V9n25PS9Vb6axj5,Born to Be Alive - The Original,Patrick Hernandez,['Patrick Hernandez'],0.704,0.868,2,-5.808,1,0.0315,0.0834,0.0,0.206,0.808,131.468,4,188
9,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,['AC/DC'],0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4,208
10,07q0QVgO56EorrSGHC48y3,I Was Made For Lovin' You,KISS,['KISS'],0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,4,271
11,4aVuWgvD0X63hcOCnZtNFA,Hold the Line,TOTO,['TOTO'],0.473,0.898,6,-4.797,0,0.0561,0.00783,0.0618,0.173,0.808,96.556,4,236
12,7rWgGyRK7RAqAAXy4bLft9,Angeleyes,ABBA,['ABBA'],0.719,0.922,11,-6.091,1,0.0338,0.523,0.000163,0.0867,0.964,133.113,4,261
13,4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",Pink Floyd,['Pink Floyd'],0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114,4,239
14,6ztstiyZL6FXzh4aG46ZPD,Boogie Wonderland,"Earth, Wind & Fire","['Earth, Wind & Fire', 'The Emotions']",0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,4,288
15,46eu3SBuFCXWsPT39Yg3tJ,Don't Stop 'Til You Get Enough,Michael Jackson,['Michael Jackson'],0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,4,365
16,5IMtdHjJ1OtkxbGe4zfUxQ,Escape (The Pina Colada Song),Rupert Holmes,['Rupert Holmes'],0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,4,276
17,5KqldkCunQ2rWxruMEtGh0,The Gambler,Kenny Rogers,['Kenny Rogers'],0.671,0.501,4,-13.119,1,0.0594,0.342,0.0,0.194,0.86,87.04,4,215
