,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,1k2NivgsLlf1jgn13QqEcd,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,['Meat Loaf'],0.366,0.561,2,-10.383,1,0.0857,0.465,4.28e-06,0.14,0.363,150.425,4,719
1,2IHaGyfxNoFPLJnaEg4GTs,"What Is Love - 7"" Mix",Haddaway,['Haddaway'],0.683,0.772,7,-7.907,0,0.0311,0.0222,0.0149,0.203,0.737,123.871,4,270
2,0jWgAnTrNZmOGmqgvHhZEm,What's Up?,4 Non Blondes,['4 Non Blondes'],0.565,0.564,2,-10.044,1,0.0292,0.161,0.0,0.114,0.454,134.355,4,296
3,3TW48DvQ7ChwY1Yy1tkMaP,Runaway Train (2022 Remaster),Soul Asylum,['Soul Asylum'],0.613,0.72,0,-7.957,1,0.0425,0.0132,0.0,0.104,0.561,117.341,4,266
4,6kWJvPfC4DgUpRsXKNa9z9,All That She Wants,Ace of Base,['Ace of Base'],0.798,0.625,11,-9.689,1,0.0548,0.00547,7.98e-05,0.103,0.858,93.764,4,211
5,0NJC0FDCODpPUntRTTQq97,Cryin',Aerosmith,['Aerosmith'],0.445,0.856,9,-3.674,1,0.0327,0.000202,0.0101,0.367,0.486,105.872,3,308
6,5DiXcVovI0FcY2s0icWWUu,Mr. Jones,Counting Crows,['Counting Crows'],0.578,0.817,0,-6.542,1,0.0363,0.183,3.06e-06,0.285,0.726,141.621,4,272
7,31v2AQlx4pDI7kmnLxBkem,Mmm Mmm Mmm Mmm,Crash Test Dummies,['Crash Test Dummies'],0.58,0.575,3,-7.72,1,0.0231,0.25,1.83e-05,0.0813,0.37,92.934,4,235
8,11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,Nirvana,['Nirvana'],0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,4,281
9,1LzNfuep1bnAUR9skqdHCK,Fade Into You,Mazzy Star,['Mazzy Star'],0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143,3,296
10,4eHbdreAnSOrDDsFfc4Fpm,I Will Always Love You,Whitney Houston,['Whitney Houston'],0.332,0.214,4,-12.518,1,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,4,271
11,0gEyKnHvgkrkBM6fbeHdwK,Linger,The Cranberries,['The Cranberries'],0.439,0.434,7,-14.918,1,0.0265,0.0783,4.87e-05,0.14,0.204,94.845,4,275
12,45Ia1U4KtIjAPPU7Wv1Sea,Are You Gonna Go My Way,Lenny Kravitz,['Lenny Kravitz'],0.619,0.67,11,-10.322,0,0.0353,0.00165,0.0109,0.331,0.777,129.269,4,212
13,6PypGyiu0Y2lCDBN1XZEnP,Everybody Hurts,R.E.M.,['R.E.M.'],0.467,0.324,2,-10.451,1,0.0255,0.615,0.0248,0.118,0.166,94.301,3,320
14,1oTHteQbmJw15rPxPVXUTv,Insane in the Brain,Cypress Hill,['Cypress Hill'],0.897,0.611,11,-10.489,1,0.211,0.0291,0.186,0.0894,0.769,102.304,4,208
15,1zng9uqqXoPkmU05nsAlsw,Bed Of Roses,Bon Jovi,['Bon Jovi'],0.309,0.596,5,-5.599,1,0.0293,0.101,0.0,0.21,0.161,164.587,3,394
16,4JGKZS7h4Qa16gOU3oNETV,Dreams,The Cranberries,['The Cranberries'],0.551,0.643,4,-13.091,1,0.0353,0.00313,0.00385,0.421,0.514,128.661,4,272
17,6CKoWCWAqEVWVjpeoJXyNH,Shape Of My Heart,Sting,['Sting'],0.537,0.373,6,-10.081,0,0.0331,0.691,0.000915,0.083,0.244,83.936,4,279
18,2GrOq1y5gksYrqkc8Jzl9T,It Was A Good Day,Ice Cube,['Ice Cube'],0.797,0.779,7,-4.719,0,0.141,0.319,0.000142,0.266,0.82,82.37,4,260
19,31er9IGsfFbwqy1pH4aiTP,I Have Nothing,Whitney Houston,['Whitney Houston'],0.541,0.401,0,-10.499,1,0.0365,0.576,0.0,0.164,0.24,152.943,3,289
