,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,3WkibOpDF7cQ5xntM1epyf,It Wasn't Me,Shaggy,"['Shaggy', 'Rik Rok']",0.853,0.606,0,-4.596,1,0.0713,0.0561,0.0,0.313,0.654,94.759,4,228
1,2Mpj1Ul5OFPyyP4wB62Rvi,Survivor,Destiny's Child,"[""Destiny's Child""]",0.514,0.911,1,-2.027,0,0.41,0.0559,0.0,0.775,0.619,161.109,4,254
2,3UmaczJpikHgJFyBTAJVoz,Stan,Eminem,"['Eminem', 'Dido']",0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,4,404
3,3E7ZwUMJFqpsDOJzEkBrQ7,Can't Get You out of My Head,Kylie Minogue,['Kylie Minogue'],0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,4,231
4,0PSZ9G584Ve27GK6ThlY6P,Lady Marmalade - Single Edit,Christina Aguilera,"['Christina Aguilera', ""Lil' Kim"", 'Mýa', 'P!nk']",0.754,0.811,5,-3.679,1,0.0561,0.0185,5.18e-06,0.654,0.639,109.902,4,268
5,2aGw77pZqli064JiPuXYRi,I'm Like A Bird,Nelly Furtado,['Nelly Furtado'],0.623,0.607,10,-5.113,1,0.0353,0.147,3.29e-06,0.227,0.614,89.654,4,243
6,2lnzGkdtDj5mtlcOW2yRtG,"Whenever, Wherever",Shakira,['Shakira'],0.794,0.832,1,-4.862,0,0.0407,0.237,1.14e-05,0.203,0.871,107.657,4,196
7,6GG73Jik4jUlQCkKg9JuGO,The Middle,Jimmy Eat World,['Jimmy Eat World'],0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,4,166
8,2hKdd3qO7cWr2Jo0Bcs0MA,Drops of Jupiter (Tell Me),Train,['Train'],0.481,0.638,0,-5.862,1,0.0276,0.153,0.0,0.154,0.497,79.064,4,260
9,0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Outkast,['Outkast'],0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948,4,271
10,0gmbgwZ8iqyMPmXefof8Yf,How You Remind Me,Nickelback,['Nickelback'],0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,4,224
