,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,0ARK753YaiJbpLUk7z5yIM,Dilemma,Nelly,"['Nelly', 'Kelly Rowland']",0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,4,289
1,7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,['Eminem'],0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,4,290
2,5xEM5hIgJ1jjgcEBfpkt2F,Complicated,Avril Lavigne,['Avril Lavigne'],0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,4,245
3,4w1lzcaoZ1IC2K5TwjalRP,A Thousand Miles,Vanessa Carlton,['Vanessa Carlton'],0.56,0.825,11,-3.862,1,0.0379,0.323,0.0,0.161,0.268,94.931,4,237
4,5QpaGzWp0hwB5faV8dkbAz,Wherever You Will Go,The Calling,['The Calling'],0.558,0.719,2,-5.113,1,0.0267,0.0367,0.0,0.115,0.371,112.027,4,209
5,15f8Cv8RXUlOOCIf2oaceN,Underneath Your Clothes,Shakira,['Shakira'],0.616,0.597,8,-5.328,1,0.0415,0.691,0.0,0.104,0.362,165.508,4,224
6,6fR6Z0Vc1K6yQWNUIKjAIR,Underneath It All,No Doubt,"['No Doubt', 'Lady Saw']",0.729,0.731,4,-4.823,1,0.0682,0.235,1.35e-06,0.391,0.838,138.204,4,303
7,75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,['Coldplay'],0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,4,310
8,60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,['Linkin Park'],0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,4,217
9,3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,Red Hot Chili Peppers,['Red Hot Chili Peppers'],0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,4,269
10,4xkOaSrkexMciUUogZKVTS,Till I Collapse,Eminem,"['Eminem', 'Nate Dogg']",0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,4,298
11,00Mb3DuaIH1kjrwOku9CGU,Sk8er Boi,Avril Lavigne,['Avril Lavigne'],0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,4,204
12,1zNXF2svmdlNxfS5XeNUgr,Don't Know Why,Norah Jones,['Norah Jones'],0.745,0.219,5,-11.216,1,0.0276,0.851,1.8e-05,0.0678,0.635,88.609,4,186
13,04KTF78FFg8sOHC1BADqbY,Hot In Herre,Nelly,['Nelly'],0.956,0.745,11,-4.753,0,0.12,0.206,0.0,0.0615,0.912,107.075,4,228
14,0BCPKOYdS2jbQ8iyB56Zns,Clocks,Coldplay,['Coldplay'],0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,4,308
15,4hrae8atte6cRlSC9a7VCO,Always On Time,Ja Rule,"['Ja Rule', 'Ashanti']",0.839,0.706,5,-6.104,0,0.199,0.208,0.0,0.242,0.839,96.673,4,245
16,7BMO7O7ImjV8HNTH74Tshv,Cleanin' Out My Closet,Eminem,['Eminem'],0.908,0.758,9,-4.753,0,0.174,0.0687,0.0,0.0783,0.87,148.015,4,298
17,2mKouqwAIdQnMP43zxR89r,What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,"['Fat Joe', 'Ja Rule', 'Ashanti']",0.835,0.707,8,-5.074,1,0.0598,0.0219,2.19e-05,0.108,0.919,93.955,4,267
18,1f2V8U1BiWaC9aJWmpOARe,By the Way,Red Hot Chili Peppers,['Red Hot Chili Peppers'],0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,4,217
19,2nvC4i2aMo4CzRjRflysah,In My Place,Coldplay,['Coldplay'],0.424,0.588,9,-5.455,1,0.0278,0.0553,4.95e-06,0.298,0.193,144.636,4,227
20,6zMUIb4uce1CzpbjR3vMdN,Foolish,Ashanti,['Ashanti'],0.665,0.695,0,-5.763,1,0.0532,0.347,0.0,0.106,0.707,90.119,4,227
21,16DhvbuyvJob4Q9GHNYu2n,She Hates Me,Puddle Of Mudd,['Puddle Of Mudd'],0.58,0.748,4,-5.433,1,0.0323,0.00935,0.0,0.753,0.584,109.781,4,217
22,2VSbEXqs6NbNiZSTcHlIDR,My Sacrifice,Creed,['Creed'],0.32,0.88,2,-6.035,1,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,4,295
