,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,"['The Weeknd', 'Daft Punk']",0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,4,230
1,1zi7xx7UVEFkmKfv06H8x0,One Dance,Drake,"['Drake', 'Wizkid', 'Kyla']",0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,4,174
2,50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Justin Bieber,['Justin Bieber'],0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,4,234
3,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,"['The Chainsmokers', 'Halsey']",0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,4,245
4,62PaSfnXSMyLshYJrlTuL3,Hello,Adele,['Adele'],0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991,4,296
5,5YEOzOojehCqxGQCcQiyR4,Panda,Desiigner,['Desiigner'],0.576,0.766,10,-4.943,0,0.449,0.028,1.68e-06,0.366,0.236,144.833,4,247
6,3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,['Coldplay'],0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,4,258
7,6b3b7lILUJqXcp6w9wNQSm,Cheap Thrills (feat. Sean Paul),Sia,"['Sia', 'Sean Paul']",0.592,0.8,6,-4.931,0,0.215,0.0561,2.01e-06,0.0775,0.728,89.972,4,225
8,3xKsf9qdS1CyvXSMEid6g8,Pink + White,Frank Ocean,['Frank Ocean'],0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,3,185
9,72TFWvU3wUYdUuxejTTIzt,Work,Rihanna,"['Rihanna', 'Drake']",0.725,0.534,11,-6.238,1,0.0946,0.0752,0.0,0.0919,0.558,91.974,4,219
10,0y60itmpH0aPKsFiGxmtnh,Wait a Minute!,WILLOW,['WILLOW'],0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,4,197
11,09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,['Justin Bieber'],0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,4,201
12,1WkMMavIMc4JZ8cfMmxHkI,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,['Justin Timberlake'],0.669,0.832,0,-5.721,1,0.0682,0.0106,0.0,0.0968,0.7,113.035,4,238
13,3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better,Shawn Mendes,['Shawn Mendes'],0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,4,188
14,0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake,"['DJ Snake', 'Justin Bieber']",0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,4,206
15,2Z8WuEywRWYTKe1NybPQEW,Ride,Twenty One Pilots,['Twenty One Pilots'],0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989,4,215
16,76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,DNCE,['DNCE'],0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002,4,219
17,3pXF1nA74528Edde4of9CC,Don't,Bryson Tiller,['Bryson Tiller'],0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,4,198
18,4pAl7FkDMNBsjykPXo91B3,Needed Me,Rihanna,['Rihanna'],0.671,0.314,5,-8.091,0,0.244,0.11,0.0,0.0825,0.296,110.898,4,192
19,0azC730Exh71aQlOt9Zj3y,This Is What You Came For,Calvin Harris,"['Calvin Harris', 'Rihanna']",0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,4,222
20,2BOqDYLOJBiMOXShCV1neZ,Dancing On My Own,Calum Scott,['Calum Scott'],0.681,0.174,1,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,4,260
21,5kqIPrATaCc2LqxVWzQGbk,7 Years,Lukas Graham,['Lukas Graham'],0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,4,237
22,1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,The Chainsmokers,"['The Chainsmokers', 'Daya']",0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,4,208
23,698ItKASDavgwZ3WjaWjtz,Faded,Alan Walker,['Alan Walker'],0.468,0.627,6,-5.085,1,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,4,212
24,6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,['Twenty One Pilots'],0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,4,196
25,23L5CiUhw2jV1OIMwthR3S,In the Name of Love,Martin Garrix,"['Martin Garrix', 'Bebe Rexha']",0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,4,196
26,0VhgEqMTNZwYL1ARDLLNCX,Can I Be Him,James Arthur,['James Arthur'],0.696,0.543,11,-6.164,1,0.0489,0.308,0.0,0.0939,0.479,107.969,4,247
27,69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime,Coldplay,['Coldplay'],0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,4,264
