,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,0PCGfA36HrVPmsBZJ57zOU,"Love Is All Around - From ""Four Weddings And A Funeral""",Wet Wet Wet,['Wet Wet Wet'],0.523,0.689,10,-6.58,1,0.027,0.228,0.0,0.109,0.547,84.09,4,246
1,7EZC6E7UjZe63f1jRmkWxt,Zombie,The Cranberries,['The Cranberries'],0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915,4,306
2,2RChe0r2cMoyOvuKobZy44,Always,Bon Jovi,['Bon Jovi'],0.383,0.659,4,-5.558,1,0.0312,0.117,0.0,0.0778,0.327,140.795,4,353
3,0hrBpAOgrt8RXigk83LLNE,The Sign,Ace of Base,['Ace of Base'],0.808,0.786,4,-6.897,0,0.0447,0.00928,0.0701,0.0574,0.899,96.987,4,191
4,4lsEHglVsLzILTDQ3CNESV,All for Love,Rod Stewart,['Rod Stewart'],0.51,0.44,2,-11.015,1,0.0293,0.125,0.0,0.0994,0.135,74.8,4,281
5,5IPJsGFKtxKDPCkT8lhEjN,The Rhythm of the Night,Corona,['Corona'],0.688,0.782,5,-12.291,0,0.034,0.000235,0.666,0.0955,0.77,127.822,4,264
6,67HKtdqchK0rmODxsBeWT8,Can You Feel The Love Tonight,Elton John,['Elton John'],0.297,0.364,10,-9.261,1,0.0305,0.813,0.000761,0.0976,0.149,122.598,4,240
7,3ZpQiJ78LKINrW9SQTgbXd,All I Wanna Do,Sheryl Crow,['Sheryl Crow'],0.82,0.528,9,-11.179,1,0.0321,0.111,0.0186,0.257,0.931,120.091,4,272
8,3YKptz29AsOlm7WAVnztBh,Kiss from a Rose,Seal,['Seal'],0.584,0.533,10,-7.11,0,0.0305,0.684,0.0,0.306,0.224,131.745,3,288
9,0aPaGIX2QIMAH5SMp0VEMe,The Most Beautiful Girl In the World,Prince,['Prince'],0.489,0.693,6,-4.952,1,0.0427,0.0182,5.63e-06,0.304,0.453,185.758,4,265
10,6L89mwZXSOwYl76YXfX13s,Basket Case,Green Day,['Green Day'],0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,4,182
11,2EoOZnxNgtmZaD8uUmz2nD,Black Hole Sun,Soundgarden,['Soundgarden'],0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,4,319
12,6VoIBz0VhCyz7OdEoRYDiA,Say It Ain't So,Weezer,['Weezer'],0.634,0.551,3,-7.136,1,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,4,259
13,15VRO9CQwMpbqUYA7e6Hwg,The Man Who Sold The World,Nirvana,['Nirvana'],0.483,0.753,1,-8.937,0,0.0832,0.425,0.000142,0.257,0.42,115.102,4,261
14,5ByAIlEEnxYdvpnezg7HTX,Juicy - 2005 Remaster,The Notorious B.I.G.,['The Notorious B.I.G.'],0.889,0.818,9,-4.639,1,0.253,0.47,0.0,0.179,0.782,96.063,4,303
15,7nYvUtkQMx1v80S2FH2s9J,Regulate,Warren G,"['Warren G', 'Nate Dogg']",0.849,0.521,11,-12.999,0,0.216,0.304,1.65e-06,0.115,0.763,95.265,4,249
16,74irxdVWstNlEQjsvArITq,Crazy,Aerosmith,['Aerosmith'],0.37,0.866,6,-3.879,0,0.0384,0.0868,0.0,0.137,0.427,162.086,3,317
17,0Puj4YlTm6xNzDDADXHMI9,Sabotage,Beastie Boys,['Beastie Boys'],0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,4,178
18,3dmqIB2Qxe2XZobw9gXxJ6,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,['Tom Petty and the Heartbreakers'],0.464,0.655,7,-9.058,0,0.0608,0.0272,1.34e-06,0.328,0.531,169.515,4,274
19,1Dr1fXbc2IxaK1Mu8P8Khz,When I Come Around,Green Day,['Green Day'],0.531,0.909,11,-4.236,1,0.034,0.0175,0.0,0.231,0.814,97.546,4,178
20,3Nf8oGn1okobzjDcFCvT6n,I'll Stand by You,Pretenders,['Pretenders'],0.438,0.606,7,-6.549,1,0.0305,0.3,4.49e-06,0.0754,0.266,133.822,4,241
21,06hsdMbBxWGqBO0TV0Zrkf,Cotton Eye Joe,Rednex,['Rednex'],0.729,0.936,9,-7.536,1,0.0776,0.0129,0.000892,0.0367,0.598,131.986,4,194
22,3mwvKOyMmG77zZRunnxp9E,Buddy Holly,Weezer,['Weezer'],0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,4,159
23,1kMOJBmpfWD9fir6st9uqS,Without You,Mariah Carey,['Mariah Carey'],0.576,0.526,6,-8.524,1,0.0325,0.323,2.01e-06,0.0548,0.147,122.06,4,214
