,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,2goLsvvODILDzeeiT4dAoR,Believe,Cher,['Cher'],0.652,0.917,6,-6.72,1,0.0548,0.0082,0.0,0.0509,0.459,132.975,4,239
1,33LC84JgLvK2KuW43MfaNq,"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,['Céline Dion'],0.428,0.276,4,-11.729,1,0.0312,0.732,5.33e-06,0.117,0.0382,99.195,1,280
2,225xvV8r1yKMHErSWivnow,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,['Aerosmith'],0.383,0.662,2,-5.162,1,0.0333,0.165,0.0,0.248,0.138,121.154,4,299
3,1t2Hq2WIBcZINOEnK6mdJG,Save Tonight,Eagle-Eye Cherry,['Eagle-Eye Cherry'],0.547,0.693,0,-8.786,1,0.0353,9.24e-05,5.46e-05,0.113,0.583,119.567,4,239
4,1wb4P4F0sxAQ2KXrRvsx6n,You're Still The One,Shania Twain,['Shania Twain'],0.585,0.494,3,-8.751,1,0.0353,0.363,0.0,0.0886,0.634,133.822,4,212
5,754kgU5rWscRTfvlsuEwFp,Kiss Me,Sixpence None The Richer,['Sixpence None The Richer'],0.526,0.749,3,-6.964,1,0.0283,0.023,1.76e-06,0.0692,0.421,99.982,4,209
6,6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,['The Goo Goo Dolls'],0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,3,290
7,4EchqUKQ3qAQuRNKmeIpnf,The Kids Aren't Alright,The Offspring,['The Offspring'],0.523,0.943,1,-4.203,1,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607,4,180
8,6W21LNLz9Sw7sUSNWMSHRu,Freak On a Leash,Korn,['Korn'],0.353,0.898,2,-5.877,1,0.052,2.23e-05,0.105,0.39,0.525,103.293,4,256
9,6Nm8h73ycDG2saCnZV8poF,Dragula,Rob Zombie,['Rob Zombie'],0.591,0.963,0,-6.489,0,0.0531,8.74e-05,0.000107,0.0781,0.609,125.03,4,223
10,4AE7Lj39VnSZNOmGH2iZaq,Do For Love,2Pac,['2Pac'],0.874,0.63,1,-3.585,1,0.298,0.0578,0.00479,0.0582,0.717,95.0,4,282
11,1Cwsd5xI8CajJz795oy4XF,You Get What You Give,New Radicals,['New Radicals'],0.621,0.901,2,-5.396,1,0.0302,0.17,0.0,0.0875,0.744,113.967,4,301
12,5N6M8yDiMV32T6Rkzh8EbW,"Boom, Boom, Boom, Boom!!",Vengaboys,['Vengaboys'],0.801,0.948,11,-4.623,0,0.0386,0.0117,0.457,0.025,0.968,138.489,4,203
13,6sxptembJVty4sNtcPMAVz,Man! I Feel Like A Woman!,Shania Twain,['Shania Twain'],0.657,0.639,10,-7.527,1,0.0412,0.581,0.0,0.278,0.674,124.882,4,234
14,0uEp9E98JB5awlA084uaIg,Doo Wop (That Thing),Ms. Lauryn Hill,['Ms. Lauryn Hill'],0.535,0.505,2,-8.926,0,0.245,0.0393,0.0,0.0923,0.495,99.935,4,320
15,1M2nd8jNUkkwrc1dgBPTJz,Angels,Robbie Williams,['Robbie Williams'],0.429,0.594,4,-6.251,1,0.0277,0.156,4.95e-06,0.1,0.236,150.22,4,265
16,1OxcIUqVmVYxT6427tbhDW,Fly Away,Lenny Kravitz,['Lenny Kravitz'],0.587,0.872,7,-5.066,1,0.0484,0.018,0.0,0.622,0.735,159.925,4,221
17,0weAUscowxeqDtpCgtbpgp,Gettin' Jiggy Wit It,Will Smith,['Will Smith'],0.881,0.874,6,-4.505,1,0.139,0.0175,1.14e-06,0.154,0.858,107.891,4,228
18,6sHsXIJoEN5JpdkGMQDJxt,The Boy Is Mine,Brandy,"['Brandy', 'Monica']",0.704,0.707,1,-6.537,0,0.0391,0.539,0.00106,0.318,0.761,93.145,4,295
19,0nnwn7LWHCAu09jfuH1xTA,Slide,The Goo Goo Dolls,['The Goo Goo Dolls'],0.395,0.843,8,-4.476,1,0.0374,0.00483,0.0,0.0404,0.481,112.423,4,212
20,5GorFaKkP2mLREQvhSblIg,All My Life,K-Ci & JoJo,['K-Ci & JoJo'],0.629,0.511,1,-8.651,1,0.0326,0.114,3.91e-06,0.0588,0.181,128.038,4,331
21,3GKL13lkM5nRc4zC1lIOrR,Still Not a Player (feat. Joe) - Radio Version,Big Pun,"['Big Pun', 'Joe']",0.9,0.619,4,-6.518,0,0.312,0.203,0.00156,0.0647,0.864,94.121,4,237
22,67Hna13dNDkZvBpTXRIaOJ,Teardrop,Massive Attack,['Massive Attack'],0.615,0.419,11,-8.8,0,0.0395,0.0173,0.497,0.135,0.216,76.997,4,331
23,1BKT2I9x4RGKaKqW4up34s,Ruff Ryders' Anthem,DMX,['DMX'],0.88,0.577,10,-8.093,0,0.302,0.0564,1.02e-06,0.201,0.74,90.991,4,214
24,1H5VQuShs4qfwBXyHF0PeH,Narcotic - Radio Edit,Liquido,['Liquido'],0.617,0.607,1,-7.015,1,0.0231,0.000876,0.0701,0.0918,0.446,102.068,4,236
25,29hBRadFZf9QTGRHZmxm65,One Week,Barenaked Ladies,['Barenaked Ladies'],0.702,0.898,9,-6.003,1,0.0373,0.00854,0.000154,0.0917,0.731,112.845,4,170
26,5fpizYGbi5IQoEraj6FP0R,Intergalactic - Remastered 2009,Beastie Boys,['Beastie Boys'],0.734,0.864,2,-6.119,1,0.303,0.022,9.85e-06,0.246,0.47,105.932,4,231
27,31bf9SEOppLU6lQ85d8om6,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),Pras,"['Pras', ""Ol' Dirty Bastard"", 'Mýa']",0.818,0.653,1,-8.396,1,0.204,0.0335,5.46e-06,0.22,0.533,99.931,4,261
28,7BD50ATrF3Vab5FQy7vtK8,How Do I Live,LeAnn Rimes,['LeAnn Rimes'],0.577,0.462,2,-7.989,1,0.0279,0.128,0.0,0.0822,0.258,128.303,4,267
29,2V4Bc2I962j7acQj1N0PiQ,Celebrity Skin,Hole,['Hole'],0.438,0.905,9,-6.161,1,0.0419,9.44e-06,5.4e-05,0.363,0.723,134.163,4,163
30,1mv4lh1rW1K6xhxhJmEezy,Music Sounds Better With You - Radio Edit,Stardust,['Stardust'],0.729,0.662,5,-7.191,0,0.337,0.00128,0.208,0.305,0.359,124.149,4,261
31,3FteycP8CaXS1MhjcXekVT,Stop,Spice Girls,['Spice Girls'],0.722,0.845,2,-4.446,0,0.0308,0.287,0.0,0.0561,0.965,130.13,4,205
32,0Ui05Ov0s4PnRc4JI3Pilg,My Favourite Game,The Cardigans,['The Cardigans'],0.586,0.777,5,-6.185,0,0.0303,4.78e-05,0.00147,0.0729,0.424,143.339,4,220
33,6vUPPEN2V2lZ78b6DyEIjZ,What It's Like,Everlast,['Everlast'],0.679,0.557,0,-7.423,1,0.0281,0.0904,0.0324,0.0866,0.405,85.152,4,303
34,73ljrkSg4A0q3ByU0Cu7mw,We Like To Party! (The Vengabus),Vengaboys,['Vengaboys'],0.785,0.931,8,-4.813,1,0.0465,0.0148,0.637,0.0459,0.969,135.986,4,222
35,5EYWGM3Ns3iYew8ws0FatB,This Kiss,Faith Hill,['Faith Hill'],0.398,0.804,11,-5.559,1,0.0451,0.175,0.0,0.181,0.709,186.752,4,194
36,4lO57zZGFcj7vSY4QhfVDq,She's The One,Robbie Williams,['Robbie Williams'],0.243,0.609,10,-8.451,1,0.0323,0.663,1.13e-05,0.221,0.333,166.668,4,258
37,5Tl0HJvynZtKdSUMKbFVVX,Hard Knock Life (Ghetto Anthem),JAY-Z,['JAY-Z'],0.884,0.679,10,-5.857,0,0.282,0.0957,0.00209,0.0289,0.591,76.993,4,238
38,3xZMPZQYETEn4hjor3TR1A,Angel,Sarah McLachlan,['Sarah McLachlan'],0.532,0.0744,1,-16.092,1,0.0355,0.949,1.22e-05,0.106,0.125,117.131,3,270
39,3RSpK5Y0y5tl25qvssrwJ6,My All,Mariah Carey,['Mariah Carey'],0.607,0.317,7,-10.244,0,0.029,0.732,4.53e-05,0.086,0.111,108.122,4,231
40,3354J49VpkbZJho7Ztdzpw,Jumper - 1998 Edit,Third Eye Blind,['Third Eye Blind'],0.599,0.543,0,-9.226,1,0.0302,0.0129,0.00204,0.291,0.624,91.105,4,273
41,2ouURa1AIXp3AvkS52Jry5,Every Morning,Sugar Ray,['Sugar Ray'],0.833,0.679,8,-4.496,1,0.0365,0.0834,0.00258,0.0769,0.975,109.916,4,220
42,0JN7vUgUolHGHFrOR8xk7S,When You Believe - from The Prince of Egypt,Whitney Houston,"['Whitney Houston', 'Mariah Carey']",0.436,0.391,1,-9.62,0,0.0326,0.554,0.0,0.12,0.126,125.354,4,273
