,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,2dLLR6qlu5UJ5gk0dKz0h3,Royals,Lorde,['Lorde'],0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878,4,190
1,5PUvinSo4MNqW7vmomGRS7,Blurred Lines,Robin Thicke,"['Robin Thicke', 'T.I.', 'Pharrell Williams']",0.861,0.504,7,-7.707,1,0.0489,0.00412,1.78e-05,0.0783,0.881,120.0,4,263
2,4G8gkOterJn0Ywt6uhqbhp,Radioactive,Imagine Dragons,['Imagine Dragons'],0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,4,187
3,0nrRP2bk19rLc0orkWPQk2,Wake Me Up,Avicii,['Avicii'],0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4,247
4,3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,['Bruno Mars'],0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,4,233
5,6CjtS2JZH9RkDz5UVInsa9,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,"['Macklemore & Ryan Lewis', 'Macklemore', 'Ryan Lewis', 'Wanz']",0.781,0.526,6,-6.986,0,0.293,0.0633,0.0,0.0457,0.665,94.993,4,236
6,2Foc5Q5nqNiosCNqttzHof,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,4,248
7,3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,['Tom Odell'],0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4,244
8,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,['The Neighbourhood'],0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,240
9,5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,['Arctic Monkeys'],0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4,272
10,6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound,Capital Cities,['Capital Cities'],0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,5,193
11,0NlGoUyOJSuSHmngoibVAs,All I Want,Kodaline,['Kodaline'],0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,3,306
12,0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,['Bruno Mars'],0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,4,214
13,1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),P!nk,"['P!nk', 'Nate Ruess']",0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,4,243
14,3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,"['Macklemore & Ryan Lewis', 'Macklemore', 'Ryan Lewis', 'Ray Dalton']",0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,4,258
15,086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,Arctic Monkeys,['Arctic Monkeys'],0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,4,161
