,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,1DIXPcTDzTj8ZMHt3PDt8p,Gangsta's Paradise,Coolio,"['Coolio', 'L.V.']",0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,4,241
1,7ygpwy2qP3NbrxVkHvUhXY,Wonderwall - Remastered,Oasis,['Oasis'],0.375,0.893,2,-4.097,1,0.0406,0.000509,0.0,0.187,0.434,174.323,4,259
2,1FkoVC85Ds3mFoK0fVqEqP,Self Esteem,The Offspring,['The Offspring'],0.488,0.862,0,-7.595,1,0.0476,0.0204,0.0,0.359,0.706,104.56,4,258
3,6qspW4YKycviDFjHBOaqUY,Waterfalls,TLC,['TLC'],0.769,0.505,1,-7.345,1,0.0829,0.311,7.49e-05,0.0777,0.757,171.804,4,280
4,1uzWOoJdADfstQuFtQFTUn,Breakfast At Tiffany's,Deep Blue Something,['Deep Blue Something'],0.622,0.829,2,-5.548,1,0.029,0.11,0.0,0.0954,0.539,110.367,4,257
5,6vcdzohhBSbNdsZBh5IRpQ,Back for Good - Radio Mix,Take That,['Take That'],0.601,0.504,5,-9.761,1,0.0284,0.31,0.0,0.137,0.564,78.986,4,242
6,2g8HN35AnVGIk7B8yMucww,Big Poppa - 2005 Remaster,The Notorious B.I.G.,['The Notorious B.I.G.'],0.78,0.575,9,-7.247,0,0.273,0.43,0.0,0.143,0.773,84.492,4,253
7,6xkryXuiZU360Lngd4sx13,Fantasy,Mariah Carey,['Mariah Carey'],0.669,0.727,7,-7.588,1,0.0353,0.139,0.0,0.123,0.807,102.322,4,243
8,6GtX0jaNL8IjVQfrDBx81z,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,['The Smashing Pumpkins'],0.404,0.72,10,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,4,258
9,4IYKjN1DrYzxKXt0umJqsG,I Got 5 On It,Luniz,"['Luniz', 'Michael Marshall']",0.6,0.706,10,-7.899,0,0.361,0.209,0.0,0.125,0.58,173.926,4,254
10,12dU3vAh6AFoJkisorfoUl,Don't Look Back In Anger - Remastered,Oasis,['Oasis'],0.328,0.936,0,-3.254,1,0.0628,0.0665,2.61e-06,0.165,0.31,162.97,4,290
11,5xC8uOesnn0udeXAYlAnoY,Alright,Supergrass,['Supergrass'],0.467,0.958,4,-4.808,0,0.0775,0.000479,0.199,0.299,0.701,145.92,4,181
12,6tDxrq4FxEL2q15y37tXT9,Dear Mama,2Pac,['2Pac'],0.773,0.54,6,-7.123,1,0.103,0.371,0.0,0.131,0.322,84.115,4,280
13,5lWRaa0fBxDE5yU91npPq7,Just A Girl,No Doubt,['No Doubt'],0.638,0.906,2,-4.824,1,0.0504,0.0662,6.88e-05,0.142,0.767,107.991,4,209
14,1OFKUn2VLafrHj7ybnap0Q,Only Wanna Be with You,Hootie & The Blowfish,['Hootie & The Blowfish'],0.49,0.873,6,-5.861,1,0.0355,0.107,5.19e-06,0.118,0.513,103.272,4,230
15,4fxF8ljwryMZX5c9EKrLFE,Boombastic,Shaggy,['Shaggy'],0.867,0.538,2,-16.183,1,0.361,0.242,1.75e-05,0.316,0.781,158.328,4,250
16,6hs3SDnbO3f6VQuPO4KBEb,Send Me on My Way,Rusted Root,['Rusted Root'],0.5,0.681,0,-9.556,1,0.0672,0.114,4.01e-05,0.139,0.745,119.46,4,263
17,2fXKyAyPrEa24c6PJyqznF,Common People,Pulp,['Pulp'],0.314,0.797,0,-9.026,1,0.038,0.0057,5.59e-05,0.0718,0.569,145.393,4,352
18,4vDBJeeQCbhP9FaPPMsYkY,Give Me One Reason,Tracy Chapman,['Tracy Chapman'],0.608,0.419,11,-10.016,1,0.0331,0.602,7.58e-06,0.108,0.602,100.22,4,268
19,623rRTKwGmgjH6sjE9uWLh,Scatman (ski-ba-bop-ba-dop-bop),Scatman John,['Scatman John'],0.65,0.82,5,-10.9,0,0.0356,0.0662,0.00272,0.215,0.757,135.982,4,216
20,7bu0znpSbTks0O6I98ij0W,"Tonight, Tonight - Remastered 2012",The Smashing Pumpkins,['The Smashing Pumpkins'],0.277,0.67,6,-9.381,1,0.0376,6.28e-05,0.751,0.237,0.217,148.342,4,255
21,15tHagkk8z306XkyOHqiip,"I'll Be There for You - Theme From ""Friends""",The Rembrandts,['The Rembrandts'],0.32,0.917,9,-5.903,1,0.0771,0.0717,0.0,0.169,0.715,190.757,4,188
