,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,0fnTADkpDxvjA3v0Ss5bpb,Abracadabra,Steve Miller Band,['Steve Miller Band'],0.759,0.778,9,-5.799,0,0.0372,0.0454,3.58e-06,0.27,0.959,127.528,4,307
1,1ot6jEe4w4hYnsOPjd3xKQ,I'm So Excited,The Pointer Sisters,['The Pointer Sisters'],0.59,0.868,5,-5.832,0,0.048,0.0962,0.000322,0.442,0.798,184.348,4,231
2,2374M0fQpWi3dLnB54qaLX,Africa,TOTO,['TOTO'],0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,4,296
3,39lSeqnyjZJejRuaREfyLL,Hungry Like the Wolf - 2009 Remaster,Duran Duran,['Duran Duran'],0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16e-06,0.299,0.685,127.568,4,221
4,2HHtWyy5CgaQbC7XSoOb0e,Eye of the Tiger,Survivor,['Survivor'],0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,4,244
5,7iFwfXNYy0goAL54aupC7Q,It's Raining Men,The Weather Girls,['The Weather Girls'],0.692,0.856,1,-7.786,1,0.0696,0.0468,0.507,0.252,0.576,136.913,4,326
6,6nWcEzyxDozQcmxMoNJtYx,Come On Eileen - Single Edit,Dexys Midnight Runners,"['Dexys Midnight Runners', 'Kevin Rowland']",0.41,0.874,0,-4.286,1,0.0907,0.197,0.0,0.0843,0.824,107.08,4,206
7,3fVSMbeq8tY3G85yxcJwRU,Ebony And Ivory - Remixed 2015,Paul McCartney,['Paul McCartney'],0.567,0.692,4,-7.881,1,0.0379,0.0784,0.0,0.0338,0.708,160.697,4,226
8,4U6mBgGP8FXN6UH4T3AJhu,"Up Where We Belong - From ""An Officer And A Gentleman""",Joe Cocker,"['Joe Cocker', 'Jennifer Warnes']",0.624,0.306,2,-11.831,1,0.0318,0.634,2.67e-05,0.0632,0.227,139.912,4,233
9,39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,The Clash,['The Clash'],0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375,4,189
10,1BkY0N8ChFk2mdLbAUu8ZK,Pass The Dutchie,Musical Youth,['Musical Youth'],0.805,0.418,7,-14.374,1,0.0979,0.459,0.0,0.288,0.966,149.724,4,205
11,2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,Joan Jett & the Blackhearts,['Joan Jett & the Blackhearts'],0.535,0.716,4,-5.025,1,0.0431,0.326,0.0,0.659,0.901,94.379,4,175
12,43btz2xjMKpcmjkuRsvxyg,Jack & Diane,John Mellencamp,['John Mellencamp'],0.811,0.41,9,-8.214,1,0.0391,0.0365,6.63e-06,0.0799,0.626,103.965,4,254
13,1ynmMEK1fkyiZ6Z6F3ThEt,Centerfold,The J. Geils Band,['The J. Geils Band'],0.653,0.677,0,-12.244,1,0.0396,0.249,0.0,0.403,0.888,114.37,4,217
14,3ZZq9396zv8pcn5GYVhxUi,Down Under,Men At Work,['Men At Work'],0.739,0.459,11,-14.42,0,0.0294,0.129,0.0194,0.0474,0.892,107.115,4,222
