,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,['Bruno Mars'],0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,4,221
1,15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,Eminem,"['Eminem', 'Rihanna']",0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,4,263
2,0SiywuOBRcynK0uKGWdCnn,Bad Romance,Lady Gaga,['Lady Gaga'],0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,4,295
3,2GYHyAoLWpkxLVa4oYTVko,Alors on danse - Radio Edit,Stromae,['Stromae'],0.791,0.59,1,-9.206,0,0.0793,0.0994,0.00203,0.065,0.714,119.951,4,206
4,0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,['Kesha'],0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,4,200
5,4dTaAiV9xFFCxnPur9c9yL,Memories (feat. Kid Cudi),David Guetta,"['David Guetta', 'Kid Cudi']",0.561,0.87,8,-6.103,1,0.343,0.0015,2.82e-06,0.246,0.498,129.98,4,210
6,2CEgGE6aESpnmtfiZwYlbV,Dynamite,Taio Cruz,['Taio Cruz'],0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,4,203
7,2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),Rihanna,['Rihanna'],0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,4,235
8,6tS3XVuOyu10897O3ae7bi,California Gurls,Katy Perry,"['Katy Perry', 'Snoop Dogg']",0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,4,235
9,4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",Train,['Train'],0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,4,217
10,161DnLWsx1i3u1JT05lzqU,Talking to the Moon,Bruno Mars,['Bruno Mars'],0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,4,218
11,6epn3r7S14KUqlReYr77hA,Baby,Justin Bieber,"['Justin Bieber', 'Ludacris']",0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,4,214
12,7Ie9W94M7OjPoZVV216Xus,Not Afraid,Eminem,['Eminem'],0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,5,248
13,4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,"['Usher', 'Pitbull']",0.663,0.861,7,-3.398,0,0.109,0.0338,0.0,0.082,0.654,119.963,4,221
