,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,3LmvfNUQtglbTrydsdIqFU,We Belong Together,Mariah Carey,['Mariah Carey'],0.837,0.462,0,-7.89,1,0.0601,0.0339,0.0,0.09,0.762,139.986,4,201
1,3ibKnFDaa3GhpPGlOUj7ff,Let Me Love You,Mario,['Mario'],0.656,0.578,7,-8.97,0,0.0922,0.235,0.0,0.118,0.556,94.514,4,257
2,1PS1QMdUqOal0ai3Gt7sDQ,Gold Digger,Kanye West,"['Kanye West', 'Jamie Foxx']",0.629,0.696,1,-5.572,0,0.348,0.0195,0.0,0.0554,0.623,93.034,4,208
3,4TsmezEQVSZNNPv5RJ65Ov,Pon de Replay,Rihanna,['Rihanna'],0.779,0.64,7,-8.415,1,0.159,0.000155,0.00077,0.101,0.498,99.019,4,247
4,5D2mYZuzcgjpchVY1pmTPh,Candy Shop,50 Cent,"['50 Cent', 'Olivia']",0.614,0.574,11,-7.961,1,0.466,0.0253,3.2e-05,0.38,0.755,125.173,5,209
5,0vg4WnUWvze6pBOJDTq99k,You're Beautiful,James Blunt,['James Blunt'],0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,4,209
6,5GorCbAP4aL0EJ16frG2hd,Boulevard of Broken Dreams,Green Day,['Green Day'],0.496,0.682,8,-4.095,1,0.0294,0.00552,2.94e-05,0.0589,0.474,167.06,4,262
7,1gZ7i4qxXkHZb1r6eioaAP,Don't Cha,The Pussycat Dolls,"['The Pussycat Dolls', 'Busta Rhymes']",0.877,0.637,1,-3.493,0,0.101,0.00516,2.5e-06,0.0959,0.569,119.988,4,272
8,0mUyMawtxj1CJ76kn9gIZK,Bad Day,Daniel Powter,['Daniel Powter'],0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,4,234
9,0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Gorillaz,['Gorillaz'],0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,4,223
10,7LVHVU3tWfcxj5aiPFEW4Q,Fix You,Coldplay,['Coldplay'],0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,4,296
11,2wGSgTmgSF3xjRrHkTc25R,Hate It Or Love It,The Game,"['The Game', '50 Cent']",0.802,0.785,9,-4.781,1,0.207,0.14,0.0,0.123,0.435,99.998,4,206
12,561jH07mF1jHuk7KlaeF0s,Mockingbird,Eminem,['Eminem'],0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,4,251
13,4v7DCN09hgXkKazefkznDQ,Lonely,Akon,['Akon'],0.634,0.526,5,-7.881,0,0.0333,0.339,0.0,0.257,0.623,90.087,4,236
14,4nva9EpKntUTs6CRSGBCn9,Just A Lil Bit,50 Cent,['50 Cent'],0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,4,238
15,2TfSHkHiFO4gRztVIkggkE,"Sugar, We're Goin Down",Fall Out Boy,['Fall Out Boy'],0.494,0.842,7,-4.784,1,0.0843,0.00579,0.0,0.122,0.574,162.011,4,229
16,3ZffCQKLFLUvYM59XKLbVm,Wake Me up When September Ends,Green Day,['Green Day'],0.546,0.814,7,-5.146,1,0.0314,0.023,0.0,0.0972,0.146,104.98,4,286
17,5sNESr6pQfIhL3krM8CtZn,Numb / Encore,JAY-Z,"['JAY-Z', 'Linkin Park']",0.687,0.793,2,-4.254,1,0.166,0.0603,0.0,0.582,0.751,107.045,4,206
18,2NBQmPrOEEjA8VbeWOQGxO,Drop It Like It's Hot,Snoop Dogg,"['Snoop Dogg', 'Pharrell Williams']",0.888,0.632,1,-3.872,1,0.219,0.19,0.0,0.101,0.662,91.979,4,266
19,5FZxsHWIvUsmSK1IAvm2pp,Best of You,Foo Fighters,['Foo Fighters'],0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,4,256
20,4Hff1IjRbLGeLgFgxvHflk,DARE,Gorillaz,['Gorillaz'],0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,4,245
21,4PmMVdIFpJTB9WQbmILf4p,How We Do,The Game,"['The Game', '50 Cent']",0.862,0.648,4,-7.401,0,0.251,0.0455,0.0,0.0332,0.637,98.012,4,236
22,0lP4HYLmvowOKdsQ7CVkuq,The Kill,Thirty Seconds To Mars,['Thirty Seconds To Mars'],0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,3,232
